ut	field	country	funder_id	funder	Type	country_funder
000365463000016	Energy	DK	667	EU	Public	Supranational
000365463000016	Energy	DK	968	Innovation Fund Denmark	Public	DK
000389090300030	Energy	DK	628	Energy Foundation(USA)	NA	NA
000389090300030	Energy	DK	1375	Ministry of Education of the People's Republic of China	Public	Other
000389090300030	Energy	DK	1464	National natural science foundation of China	Public	Other
000389090300030	Energy	DK	1484	National Social Science Foundation of China	NA	NA
000328507700014	Energy	DK	1785	Research Grants Council of Hong Kong	NA	Other
000364603700033	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000411543000002	Food science	DK	2398	Aarhus University	University	DK
000411543000002	Food science	DK	331	Danida, Denmark	Public	DK
000411543000002	Food science	DK	246	Chinese government	Public	Other
000365980100012	Energy	DK	667	EU	Public	Supranational
000340580400033	Food science	DK	361	Danish Council for Technology and Innovation	Public	DK
000340580400033	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000267162500010	Energy	DK	488	DONG Energy	Private	DK
000267162500010	Energy	DK	359	Danish Council for Independent Research	Public	DK
000267162500010	Energy	DK	424	Danish Research Council for Technology and Production	Public	DK
000267162500010	Energy	DK	667	EU	Public	Supranational
000267162500010	Energy	DK	625	Energinet.dk	Private	DK
000267162500010	Energy	DK	731	FLSmidth A/S	Private	NA
000267162500010	Energy	DK	896	Hempel A/S	Private	NA
000267162500010	Energy	DK	1538	Nordic Energy Research	Public	Supranational
000267162500010	Energy	DK	1990	Technical University of Denmark	University	DK
000267162500010	Energy	DK	2309	Vattenfall	Private	Other
000283222200037	Energy	DK	229	Center for Materials Crystallography (CMC)	Public	DK
000283222200037	Energy	DK	411	Danish National Research Foundation	Public	DK
000283222200037	Energy	DK	359	Danish Council for Independent Research	Public	DK
000283222200037	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000283222200037	Energy	DK	1043	Italian Ministry for University and Research	Public	Other
000333057300004	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000333057300004	Energy	DK	667	EU	Public	Supranational
000329033700011	Energy	DK	229	Center for Materials Crystallography (CMC)	Public	DK
000329033700011	Energy	DK	411	Danish National Research Foundation	Public	DK
000329033700011	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000329033700011	Energy	DK	1603	Norwegian Research Council	Public	NO
000366939600013	Food science	DK	667	EU	Public	Supranational
000386489600006	Energy	DK	2152	U.S. Department of Energy	Public	Other
000386489600006	Energy	DK	2151	U.S. Department of Agriculture	Public	Other
000282193500008	Food science	DK	349	Danish Cattle Federation	Non-profit	DK
000282193500008	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000306062100002	Energy	DK	41	Agriculture and Agri-Food Canada	Public	Other
000306062100002	Energy	DK	118	Australian Research Council	Public	Other
000306062100002	Energy	DK	2264	University of Queensland	University	Other
000369839300023	Food science	DK	969	Innovation Norway	Public	NO
000369839300023	Food science	DK	1603	Norwegian Research Council	Public	NO
000395606500014	Energy	DK	244	China Scholarship Council (CSC)	Public	Other
000395606500014	Energy	DK	1464	National natural science foundation of China	Public	Other
000395606500014	Energy	DK	1443	"NA"	NA	Other
000349505300006	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000412742100021	Energy	DK	2027	Thailand Research Fund (TRF)	Public	Other
000388620200024	Energy	DK	1459	National High Technology Research and Development Program of China	Public	Other
000388620200024	Energy	DK	1464	National natural science foundation of China	Public	Other
000428826300003	Food science	DK	667	EU	Public	Supranational
000310564200002	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000318240200026	Food science	DK	403	Danish Ministry of Science, Technology and Innovation	Public	DK
000345328400003	Food science	DK	1443	"NA"	NA	Other
000345328400003	Food science	DK	2326	Villum Foundation	Non-profit	DK
000345328400003	Food science	DK	667	EU	Public	Supranational
000345328400003	Food science	DK	642	Environment Agency	NA	NA
000345328400003	Food science	DK	2166	UK Natural Environment Research Council	Public	Other
000345328400003	Food science	DK	1859	Scottish Natural Heritage/Schottish Government	NA	NA
000362243100018	Food science	DK	359	Danish Council for Independent Research	Public	DK
000362243100018	Food science	DK	667	EU	Public	Supranational
000362243100018	Food science	DK	840	Gobierno de Extremadura	NA	Other
000265908500046	Food science	DK	1490	Natural Sciences and Engineering Research Council of Canada (NSERC)	Public	Other
000265908500046	Food science	DK	1990	Technical University of Denmark	University	DK
000442366400029	Energy	DK	667	EU	Public	Supranational
000442366400029	Energy	DK	1860	SDU	NA	NA
000294107700010	Energy	DK	667	EU	Public	Supranational
000313923900035	Energy	DK	403	Danish Ministry of Science, Technology and Innovation	Public	DK
000313923900035	Energy	DK	1274	Lundbeck foundation	Non-profit	DK
000378510700033	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000378510700033	Energy	DK	686	FCT - Foundation for Science and Technology	Public	Other
000288516100008	Energy	DK	365	Danish Energy Agency	Public	DK
000400789500032	Food science	DK	1490	Natural Sciences and Engineering Research Council of Canada (NSERC)	Public	Other
000413076200002	Energy	DK	1990	Technical University of Denmark	University	DK
000373554000003	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000328064100029	Energy	DK	667	EU	Public	Supranational
000288225300013	Energy	DK	240	Chalmers Foundation	Public	Other
000288225300013	Energy	DK	667	EU	Public	Supranational
000288225300013	Energy	DK	1174	Knut and Alice Wallenberg Foundation	Non-profit	Other
000208788100002	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000431748400075	Energy	DK	365	Danish Energy Agency	Public	DK
000445317900043	Energy	DK	667	EU	Public	Supranational
000271832800014	Food science	DK	410	Danish National project SUNFISH	NA	DK
000436217500006	Food science	DK	359	Danish Council for Independent Research	Public	DK
000436217500006	Food science	DK	874	H.C. Orsted	NA	NA
000329553200013	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000314115500027	Energy	DK	64	Alfa Laval Copenhagen A/S (Denmark)	Private	DK
000314115500027	Energy	DK	1464	National natural science foundation of China	Public	Other
000317430700003	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000317430700003	Energy	DK	365	Danish Energy Agency	Public	DK
000317430700003	Energy	DK	667	EU	Public	Supranational
000317430700003	Energy	DK	1746	PV-ERA-NET	Public	Supranational
000291178900002	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000291178900002	Food science	DK	1990	Technical University of Denmark	University	DK
000424295300019	Energy	DK	359	Danish Council for Independent Research	Public	DK
000424295300019	Energy	DK	667	EU	Public	Supranational
000424295300019	Energy	DK	2326	Villum Foundation	Non-profit	DK
000337783800001	Energy	DK	488	DONG Energy	Private	DK
000337783800001	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000375774200046	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000323132700008	Energy	DK	411	Danish National Research Foundation	Public	DK
000323132700008	Energy	DK	1888	Sino-Danish Center (SDC)	Public	DK
000359859700007	Energy	DK	667	EU	Public	Supranational
000359859700007	Energy	DK	1913	Spanish government	Public	Other
000306204700019	Energy	DK	365	Danish Energy Agency	Public	DK
000306204700019	Energy	DK	368	Danish Energy Technology Development and Demonstration Program	Public	DK
