"yr","cluster_id","full_name","n_pubs","n_cits","country","field","cum_cit","cum_pub","total_cit","total_pub","cum_pct_cit","cum_pct_pub"
2007,32667861,"jennings, s",15,423,"United Kingdom","Biology",4834,194,34838,478,0.139,0.406
2008,32667861,"jennings, s",11,650,"Denmark","Biology",5484,205,34838,478,0.157,0.429
2008,32667861,"jennings, s",11,650,"United Kingdom","Biology",6134,216,34838,478,0.176,0.452
2009,32667861,"jennings, s",9,734,"Denmark","Biology",6868,225,34838,478,0.197,0.471
2009,32667861,"jennings, s",9,734,"United Kingdom","Biology",7602,234,34838,478,0.218,0.49
2010,32667861,"jennings, s",9,868,"Denmark","Biology",8470,243,34838,478,0.243,0.508
2010,32667861,"jennings, s",9,868,"United Kingdom","Biology",9338,252,34838,478,0.268,0.527
2011,32667861,"jennings, s",10,1030,"Denmark","Biology",10368,262,34838,478,0.298,0.548
2011,32667861,"jennings, s",10,1030,"United Kingdom","Biology",11398,272,34838,478,0.327,0.569
2012,32667861,"jennings, s",12,1098,"Denmark","Biology",12496,284,34838,478,0.359,0.594
2012,32667861,"jennings, s",12,1098,"United Kingdom","Biology",13594,296,34838,478,0.39,0.619
2013,32667861,"jennings, s",7,1153,"Denmark","Biology",14747,303,34838,478,0.423,0.634
2013,32667861,"jennings, s",7,1153,"United Kingdom","Biology",15900,310,34838,478,0.456,0.649
2014,32667861,"jennings, s",14,1283,"Denmark","Biology",17183,324,34838,478,0.493,0.678
2014,32667861,"jennings, s",14,1283,"United Kingdom","Biology",18466,338,34838,478,0.53,0.707
2015,32667861,"jennings, s",20,1385,"Denmark","Biology",19851,358,34838,478,0.57,0.749
2015,32667861,"jennings, s",20,1385,"United Kingdom","Biology",21236,378,34838,478,0.61,0.791
2016,32667861,"jennings, s",18,1614,"Denmark","Biology",22850,396,34838,478,0.656,0.828
2016,32667861,"jennings, s",18,1614,"United Kingdom","Biology",24464,414,34838,478,0.702,0.866
2017,32667861,"jennings, s",20,1540,"Denmark","Biology",26004,434,34838,478,0.746,0.908
2017,32667861,"jennings, s",20,1540,"United Kingdom","Biology",27544,454,34838,478,0.791,0.95
2018,32667861,"jennings, s",7,1710,"Denmark","Biology",29254,461,34838,478,0.84,0.964
2018,32667861,"jennings, s",7,1710,"United Kingdom","Biology",30964,468,34838,478,0.889,0.979
2019,32667861,"jennings, s",5,1937,"Denmark","Biology",32901,473,34838,478,0.944,0.99
2019,32667861,"jennings, s",5,1937,"United Kingdom","Biology",34838,478,34838,478,1,1
1980,34356797,"duarte, cm",0,0,"Denmark","Biology",0,0,43534,675,0,0
1981,34356797,"duarte, cm",0,0,"Denmark","Biology",0,0,43534,675,0,0
1982,34356797,"duarte, cm",0,0,"Denmark","Biology",0,0,43534,675,0,0
1983,34356797,"duarte, cm",0,0,"Denmark","Biology",0,0,43534,675,0,0
1984,34356797,"duarte, cm",0,0,"Denmark","Biology",0,0,43534,675,0,0
1985,34356797,"duarte, cm",0,0,"Denmark","Biology",0,0,43534,675,0,0
1986,34356797,"duarte, cm",2,0,"Denmark","Biology",0,2,43534,675,0,0.003
1987,34356797,"duarte, cm",5,5,"Denmark","Biology",5,7,43534,675,0,0.01
1988,34356797,"duarte, cm",2,15,"Denmark","Biology",20,9,43534,675,0,0.013
1989,34356797,"duarte, cm",5,15,"Denmark","Biology",35,14,43534,675,0.001,0.021
1990,34356797,"duarte, cm",10,39,"Denmark","Biology",74,24,43534,675,0.002,0.036
1991,34356797,"duarte, cm",5,46,"Denmark","Biology",120,29,43534,675,0.003,0.043
1992,34356797,"duarte, cm",7,52,"Denmark","Biology",172,36,43534,675,0.004,0.053
1993,34356797,"duarte, cm",3,57,"Denmark","Biology",229,39,43534,675,0.005,0.058
1994,34356797,"duarte, cm",13,128,"Denmark","Biology",357,52,43534,675,0.008,0.077
1995,34356797,"duarte, cm",11,147,"Denmark","Biology",504,63,43534,675,0.012,0.093
1996,34356797,"duarte, cm",13,193,"Denmark","Biology",697,76,43534,675,0.016,0.113
1997,34356797,"duarte, cm",19,257,"Denmark","Biology",954,95,43534,675,0.022,0.141
1998,34356797,"duarte, cm",17,296,"Denmark","Biology",1250,112,43534,675,0.029,0.166
1999,34356797,"duarte, cm",17,414,"Denmark","Biology",1664,129,43534,675,0.038,0.191
2000,34356797,"duarte, cm",15,419,"Denmark","Biology",2083,144,43534,675,0.048,0.213
2001,34356797,"duarte, cm",14,455,"Denmark","Biology",2538,158,43534,675,0.058,0.234
2002,34356797,"duarte, cm",14,538,"Denmark","Biology",3076,172,43534,675,0.071,0.255
2003,34356797,"duarte, cm",19,520,"Denmark","Biology",3596,191,43534,675,0.083,0.283
2004,34356797,"duarte, cm",16,613,"Denmark","Biology",4209,207,43534,675,0.097,0.307
2005,34356797,"duarte, cm",28,853,"Denmark","Biology",5062,235,43534,675,0.116,0.348
2006,34356797,"duarte, cm",22,847,"Denmark","Biology",5909,257,43534,675,0.136,0.381
2007,34356797,"duarte, cm",22,1017,"Denmark","Biology",6926,279,43534,675,0.159,0.413
2008,34356797,"duarte, cm",26,1062,"Denmark","Biology",7988,305,43534,675,0.183,0.452
2009,34356797,"duarte, cm",28,1373,"Denmark","Biology",9361,333,43534,675,0.215,0.493
2010,34356797,"duarte, cm",40,1533,"Denmark","Biology",10894,373,43534,675,0.25,0.553
2011,34356797,"duarte, cm",24,1780,"Denmark","Biology",12674,397,43534,675,0.291,0.588
2012,34356797,"duarte, cm",31,2143,"Denmark","Biology",14817,428,43534,675,0.34,0.634
2013,34356797,"duarte, cm",40,2622,"Denmark","Biology",17439,468,43534,675,0.401,0.693
2014,34356797,"duarte, cm",27,3101,"Denmark","Biology",20540,495,43534,675,0.472,0.733
2015,34356797,"duarte, cm",35,3601,"Denmark","Biology",24141,530,43534,675,0.555,0.785
2016,34356797,"duarte, cm",39,3971,"Denmark","Biology",28112,569,43534,675,0.646,0.843
2017,34356797,"duarte, cm",48,4509,"Denmark","Biology",32621,617,43534,675,0.749,0.914
2018,34356797,"duarte, cm",46,5367,"Denmark","Biology",37988,663,43534,675,0.873,0.982
2019,34356797,"duarte, cm",12,5546,"Denmark","Biology",43534,675,43534,675,1,1
1980,36240254,"brookes, pc",0,0,"United Kingdom","Biology",0,0,25788,233,0,0
1981,36240254,"brookes, pc",2,0,"United Kingdom","Biology",0,2,25788,233,0,0.009
1982,36240254,"brookes, pc",2,2,"United Kingdom","Biology",2,4,25788,233,0,0.017
1983,36240254,"brookes, pc",2,3,"United Kingdom","Biology",5,6,25788,233,0,0.026
1984,36240254,"brookes, pc",3,16,"United Kingdom","Biology",21,9,25788,233,0.001,0.039
1985,36240254,"brookes, pc",3,29,"United Kingdom","Biology",50,12,25788,233,0.002,0.052
1986,36240254,"brookes, pc",3,20,"United Kingdom","Biology",70,15,25788,233,0.003,0.064
1987,36240254,"brookes, pc",9,51,"United Kingdom","Biology",121,24,25788,233,0.005,0.103
1988,36240254,"brookes, pc",1,52,"United Kingdom","Biology",173,25,25788,233,0.007,0.107
1989,36240254,"brookes, pc",4,109,"United Kingdom","Biology",282,29,25788,233,0.011,0.124
1990,36240254,"brookes, pc",6,101,"United Kingdom","Biology",383,35,25788,233,0.015,0.15
1991,36240254,"brookes, pc",8,144,"United Kingdom","Biology",527,43,25788,233,0.02,0.185
1992,36240254,"brookes, pc",1,169,"United Kingdom","Biology",696,44,25788,233,0.027,0.189
1993,36240254,"brookes, pc",2,228,"United Kingdom","Biology",924,46,25788,233,0.036,0.197
1994,36240254,"brookes, pc",1,223,"United Kingdom","Biology",1147,47,25788,233,0.044,0.202
1995,36240254,"brookes, pc",4,316,"United Kingdom","Biology",1463,51,25788,233,0.057,0.219
1996,36240254,"brookes, pc",5,324,"United Kingdom","Biology",1787,56,25788,233,0.069,0.24
1997,36240254,"brookes, pc",0,329,"United Kingdom","Biology",2116,56,25788,233,0.082,0.24
1998,36240254,"brookes, pc",3,379,"United Kingdom","Biology",2495,59,25788,233,0.097,0.253
1999,36240254,"brookes, pc",4,459,"United Kingdom","Biology",2954,63,25788,233,0.115,0.27
2000,36240254,"brookes, pc",2,460,"United Kingdom","Biology",3414,65,25788,233,0.132,0.279
2001,36240254,"brookes, pc",6,485,"United Kingdom","Biology",3899,71,25788,233,0.151,0.305
2002,36240254,"brookes, pc",6,512,"United Kingdom","Biology",4411,77,25788,233,0.171,0.33
2003,36240254,"brookes, pc",4,543,"United Kingdom","Biology",4954,81,25788,233,0.192,0.348
2004,36240254,"brookes, pc",2,598,"United Kingdom","Biology",5552,83,25788,233,0.215,0.356
2005,36240254,"brookes, pc",5,544,"United Kingdom","Biology",6096,88,25788,233,0.236,0.378
2006,36240254,"brookes, pc",6,742,"United Kingdom","Biology",6838,94,25788,233,0.265,0.403
2007,36240254,"brookes, pc",4,791,"United Kingdom","Biology",7629,98,25788,233,0.296,0.421
2008,36240254,"brookes, pc",6,842,"United Kingdom","Biology",8471,104,25788,233,0.328,0.446
2009,36240254,"brookes, pc",10,813,"United Kingdom","Biology",9284,114,25788,233,0.36,0.489
2010,36240254,"brookes, pc",8,932,"United Kingdom","Biology",10216,122,25788,233,0.396,0.524
2011,36240254,"brookes, pc",10,1001,"United Kingdom","Biology",11217,132,25788,233,0.435,0.567
2012,36240254,"brookes, pc",3,1083,"United Kingdom","Biology",12300,135,25788,233,0.477,0.579
2013,36240254,"brookes, pc",14,1364,"United Kingdom","Biology",13664,149,25788,233,0.53,0.639
2014,36240254,"brookes, pc",22,1506,"United Kingdom","Biology",15170,171,25788,233,0.588,0.734
2015,36240254,"brookes, pc",10,1633,"United Kingdom","Biology",16803,181,25788,233,0.652,0.777
2016,36240254,"brookes, pc",15,1840,"United Kingdom","Biology",18643,196,25788,233,0.723,0.841
2017,36240254,"brookes, pc",14,1975,"United Kingdom","Biology",20618,210,25788,233,0.8,0.901
2018,36240254,"brookes, pc",16,2384,"United Kingdom","Biology",23002,226,25788,233,0.892,0.97
2019,36240254,"brookes, pc",7,2786,"United Kingdom","Biology",25788,233,25788,233,1,1
1980,37710175,"raven, ja",3,0,"United Kingdom","Biology",0,3,24447,433,0,0.007
1981,37710175,"raven, ja",7,11,"United Kingdom","Biology",11,10,24447,433,0,0.023
1982,37710175,"raven, ja",6,29,"United Kingdom","Biology",40,16,24447,433,0.002,0.037
1983,37710175,"raven, ja",8,53,"United Kingdom","Biology",93,24,24447,433,0.004,0.055
1984,37710175,"raven, ja",11,70,"United Kingdom","Biology",163,35,24447,433,0.007,0.081
1985,37710175,"raven, ja",11,112,"United Kingdom","Biology",275,46,24447,433,0.011,0.106
1986,37710175,"raven, ja",11,146,"United Kingdom","Biology",421,57,24447,433,0.017,0.132
1987,37710175,"raven, ja",4,198,"United Kingdom","Biology",619,61,24447,433,0.025,0.141
1988,37710175,"raven, ja",7,186,"United Kingdom","Biology",805,68,24447,433,0.033,0.157
1989,37710175,"raven, ja",8,225,"United Kingdom","Biology",1030,76,24447,433,0.042,0.176
1990,37710175,"raven, ja",8,202,"United Kingdom","Biology",1232,84,24447,433,0.05,0.194
1991,37710175,"raven, ja",11,311,"United Kingdom","Biology",1543,95,24447,433,0.063,0.219
1992,37710175,"raven, ja",12,269,"United Kingdom","Biology",1812,107,24447,433,0.074,0.247
1993,37710175,"raven, ja",12,284,"United Kingdom","Biology",2096,119,24447,433,0.086,0.275
1994,37710175,"raven, ja",8,270,"United Kingdom","Biology",2366,127,24447,433,0.097,0.293
1995,37710175,"raven, ja",9,333,"United Kingdom","Biology",2699,136,24447,433,0.11,0.314
1996,37710175,"raven, ja",14,326,"United Kingdom","Biology",3025,150,24447,433,0.124,0.346
1997,37710175,"raven, ja",15,448,"United Kingdom","Biology",3473,165,24447,433,0.142,0.381
1998,37710175,"raven, ja",13,458,"United Kingdom","Biology",3931,178,24447,433,0.161,0.411
1999,37710175,"raven, ja",11,430,"United Kingdom","Biology",4361,189,24447,433,0.178,0.436
2000,37710175,"raven, ja",8,400,"United Kingdom","Biology",4761,197,24447,433,0.195,0.455
2001,37710175,"raven, ja",14,420,"United Kingdom","Biology",5181,211,24447,433,0.212,0.487
2002,37710175,"raven, ja",10,542,"United Kingdom","Biology",5723,221,24447,433,0.234,0.51
2003,37710175,"raven, ja",13,516,"United Kingdom","Biology",6239,234,24447,433,0.255,0.54
2004,37710175,"raven, ja",11,507,"United Kingdom","Biology",6746,245,24447,433,0.276,0.566
2005,37710175,"raven, ja",11,619,"United Kingdom","Biology",7365,256,24447,433,0.301,0.591
2006,37710175,"raven, ja",12,570,"United Kingdom","Biology",7935,268,24447,433,0.325,0.619
2007,37710175,"raven, ja",14,605,"United Kingdom","Biology",8540,282,24447,433,0.349,0.651
2008,37710175,"raven, ja",10,688,"United Kingdom","Biology",9228,292,24447,433,0.377,0.674
2009,37710175,"raven, ja",19,806,"United Kingdom","Biology",10034,311,24447,433,0.41,0.718
2010,37710175,"raven, ja",15,819,"United Kingdom","Biology",10853,326,24447,433,0.444,0.753
2011,37710175,"raven, ja",11,1071,"United Kingdom","Biology",11924,337,24447,433,0.488,0.778
2012,37710175,"raven, ja",12,1199,"United Kingdom","Biology",13123,349,24447,433,0.537,0.806
2013,37710175,"raven, ja",15,1381,"United Kingdom","Biology",14504,364,24447,433,0.593,0.841
2014,37710175,"raven, ja",15,1426,"United Kingdom","Biology",15930,379,24447,433,0.652,0.875
2015,37710175,"raven, ja",12,1448,"United Kingdom","Biology",17378,391,24447,433,0.711,0.903
2016,37710175,"raven, ja",7,1561,"United Kingdom","Biology",18939,398,24447,433,0.775,0.919
2017,37710175,"raven, ja",21,1886,"United Kingdom","Biology",20825,419,24447,433,0.852,0.968
2018,37710175,"raven, ja",12,1791,"United Kingdom","Biology",22616,431,24447,433,0.925,0.995
2019,37710175,"raven, ja",2,1831,"United Kingdom","Biology",24447,433,24447,433,1,1
1980,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1981,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1982,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1983,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1984,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1985,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1986,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1987,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1988,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1989,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1990,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1991,42470214,"hammer, b",0,0,"Denmark","Physics",0,0,30230,246,0,0
1992,42470214,"hammer, b",2,0,"Denmark","Physics",0,2,30230,246,0,0.008
1993,42470214,"hammer, b",3,17,"Denmark","Physics",17,5,30230,246,0.001,0.02
1994,42470214,"hammer, b",4,30,"Denmark","Physics",47,9,30230,246,0.002,0.037
1995,42470214,"hammer, b",9,106,"Denmark","Physics",153,18,30230,246,0.005,0.073
1996,42470214,"hammer, b",8,182,"Denmark","Physics",335,26,30230,246,0.011,0.106
1997,42470214,"hammer, b",11,229,"Denmark","Physics",564,37,30230,246,0.019,0.15
1998,42470214,"hammer, b",8,263,"Denmark","Physics",827,45,30230,246,0.027,0.183
1999,42470214,"hammer, b",8,329,"Denmark","Physics",1156,53,30230,246,0.038,0.215
2000,42470214,"hammer, b",3,411,"Denmark","Physics",1567,56,30230,246,0.052,0.228
2001,42470214,"hammer, b",7,462,"Denmark","Physics",2029,63,30230,246,0.067,0.256
2002,42470214,"hammer, b",10,546,"Denmark","Physics",2575,73,30230,246,0.085,0.297
2003,42470214,"hammer, b",3,604,"Denmark","Physics",3179,76,30230,246,0.105,0.309
2004,42470214,"hammer, b",8,782,"Denmark","Physics",3961,84,30230,246,0.131,0.341
2005,42470214,"hammer, b",14,864,"Denmark","Physics",4825,98,30230,246,0.16,0.398
2006,42470214,"hammer, b",12,959,"Denmark","Physics",5784,110,30230,246,0.191,0.447
2007,42470214,"hammer, b",7,1166,"Denmark","Physics",6950,117,30230,246,0.23,0.476
2008,42470214,"hammer, b",6,1311,"Denmark","Physics",8261,123,30230,246,0.273,0.5
2009,42470214,"hammer, b",10,1432,"Denmark","Physics",9693,133,30230,246,0.321,0.541
2010,42470214,"hammer, b",12,1603,"Denmark","Physics",11296,145,30230,246,0.374,0.589
2011,42470214,"hammer, b",11,1710,"Denmark","Physics",13006,156,30230,246,0.43,0.634
2012,42470214,"hammer, b",17,1902,"Denmark","Physics",14908,173,30230,246,0.493,0.703
2013,42470214,"hammer, b",12,2039,"Denmark","Physics",16947,185,30230,246,0.561,0.752
2014,42470214,"hammer, b",14,2051,"Denmark","Physics",18998,199,30230,246,0.628,0.809
2015,42470214,"hammer, b",7,2049,"Denmark","Physics",21047,206,30230,246,0.696,0.837
2016,42470214,"hammer, b",13,2172,"Denmark","Physics",23219,219,30230,246,0.768,0.89
2017,42470214,"hammer, b",12,2078,"Denmark","Physics",25297,231,30230,246,0.837,0.939
2018,42470214,"hammer, b",15,2323,"Denmark","Physics",27620,246,30230,246,0.914,1
2019,42470214,"hammer, b",0,2610,"Denmark","Physics",30230,246,30230,246,1,1
1980,42713805,"robertson, j",5,4,"United Kingdom","Physics",4,5,61751,662,0,0.008
1981,42713805,"robertson, j",4,14,"United Kingdom","Physics",18,9,61751,662,0,0.014
1982,42713805,"robertson, j",1,15,"United Kingdom","Physics",33,10,61751,662,0.001,0.015
1983,42713805,"robertson, j",12,47,"United Kingdom","Physics",80,22,61751,662,0.001,0.033
1984,42713805,"robertson, j",8,71,"United Kingdom","Physics",151,30,61751,662,0.002,0.045
1985,42713805,"robertson, j",7,103,"United Kingdom","Physics",254,37,61751,662,0.004,0.056
1986,42713805,"robertson, j",3,99,"United Kingdom","Physics",353,40,61751,662,0.006,0.06
1987,42713805,"robertson, j",3,126,"United Kingdom","Physics",479,43,61751,662,0.008,0.065
1988,42713805,"robertson, j",2,109,"United Kingdom","Physics",588,45,61751,662,0.01,0.068
1989,42713805,"robertson, j",2,134,"United Kingdom","Physics",722,47,61751,662,0.012,0.071
1990,42713805,"robertson, j",1,162,"United Kingdom","Physics",884,48,61751,662,0.014,0.073
1991,42713805,"robertson, j",8,202,"United Kingdom","Physics",1086,56,61751,662,0.018,0.085
1992,42713805,"robertson, j",4,170,"United Kingdom","Physics",1256,60,61751,662,0.02,0.091
1993,42713805,"robertson, j",8,285,"United Kingdom","Physics",1541,68,61751,662,0.025,0.103
1994,42713805,"robertson, j",5,327,"United Kingdom","Physics",1868,73,61751,662,0.03,0.11
1995,42713805,"robertson, j",11,401,"United Kingdom","Physics",2269,84,61751,662,0.037,0.127
1996,42713805,"robertson, j",21,615,"United Kingdom","Physics",2884,105,61751,662,0.047,0.159
1997,42713805,"robertson, j",14,612,"United Kingdom","Physics",3496,119,61751,662,0.057,0.18
1998,42713805,"robertson, j",17,705,"United Kingdom","Physics",4201,136,61751,662,0.068,0.205
1999,42713805,"robertson, j",21,957,"United Kingdom","Physics",5158,157,61751,662,0.084,0.237
2000,42713805,"robertson, j",29,1195,"United Kingdom","Physics",6353,186,61751,662,0.103,0.281
2001,42713805,"robertson, j",24,1133,"United Kingdom","Physics",7486,210,61751,662,0.121,0.317
2002,42713805,"robertson, j",25,1320,"United Kingdom","Physics",8806,235,61751,662,0.143,0.355
2003,42713805,"robertson, j",29,1470,"United Kingdom","Physics",10276,264,61751,662,0.166,0.399
2004,42713805,"robertson, j",22,1632,"United Kingdom","Physics",11908,286,61751,662,0.193,0.432
2005,42713805,"robertson, j",28,1720,"United Kingdom","Physics",13628,314,61751,662,0.221,0.474
2006,42713805,"robertson, j",32,2072,"United Kingdom","Physics",15700,346,61751,662,0.254,0.523
2007,42713805,"robertson, j",27,2552,"United Kingdom","Physics",18252,373,61751,662,0.296,0.563
2008,42713805,"robertson, j",32,2643,"United Kingdom","Physics",20895,405,61751,662,0.338,0.612
2009,42713805,"robertson, j",24,2711,"United Kingdom","Physics",23606,429,61751,662,0.382,0.648
2010,42713805,"robertson, j",22,2907,"United Kingdom","Physics",26513,451,61751,662,0.429,0.681
2011,42713805,"robertson, j",25,3374,"United Kingdom","Physics",29887,476,61751,662,0.484,0.719
2012,42713805,"robertson, j",36,3415,"United Kingdom","Physics",33302,512,61751,662,0.539,0.773
2013,42713805,"robertson, j",32,3775,"United Kingdom","Physics",37077,544,61751,662,0.6,0.822
2014,42713805,"robertson, j",32,3963,"United Kingdom","Physics",41040,576,61751,662,0.665,0.87
2015,42713805,"robertson, j",29,3913,"United Kingdom","Physics",44953,605,61751,662,0.728,0.914
2016,42713805,"robertson, j",25,4210,"United Kingdom","Physics",49163,630,61751,662,0.796,0.952
2017,42713805,"robertson, j",20,4412,"United Kingdom","Physics",53575,650,61751,662,0.868,0.982
2018,42713805,"robertson, j",10,4138,"United Kingdom","Physics",57713,660,61751,662,0.935,0.997
2019,42713805,"robertson, j",2,4038,"United Kingdom","Physics",61751,662,61751,662,1,1
1980,44035385,"kiorboe, t",1,0,"Denmark","Biology",0,1,12916,194,0,0.005
1981,44035385,"kiorboe, t",4,8,"Denmark","Biology",8,5,12916,194,0.001,0.026
1982,44035385,"kiorboe, t",1,12,"Denmark","Biology",20,6,12916,194,0.002,0.031
1983,44035385,"kiorboe, t",3,16,"Denmark","Biology",36,9,12916,194,0.003,0.046
1984,44035385,"kiorboe, t",1,44,"Denmark","Biology",80,10,12916,194,0.006,0.052
1985,44035385,"kiorboe, t",5,47,"Denmark","Biology",127,15,12916,194,0.01,0.077
1986,44035385,"kiorboe, t",2,61,"Denmark","Biology",188,17,12916,194,0.015,0.088
1987,44035385,"kiorboe, t",3,56,"Denmark","Biology",244,20,12916,194,0.019,0.103
1988,44035385,"kiorboe, t",3,106,"Denmark","Biology",350,23,12916,194,0.027,0.119
1989,44035385,"kiorboe, t",2,91,"Denmark","Biology",441,25,12916,194,0.034,0.129
1990,44035385,"kiorboe, t",4,136,"Denmark","Biology",577,29,12916,194,0.045,0.149
1991,44035385,"kiorboe, t",3,128,"Denmark","Biology",705,32,12916,194,0.055,0.165
1992,44035385,"kiorboe, t",0,166,"Denmark","Biology",871,32,12916,194,0.067,0.165
1993,44035385,"kiorboe, t",2,156,"Denmark","Biology",1027,34,12916,194,0.08,0.175
1994,44035385,"kiorboe, t",6,183,"Denmark","Biology",1210,40,12916,194,0.094,0.206
1995,44035385,"kiorboe, t",7,277,"Denmark","Biology",1487,47,12916,194,0.115,0.242
1996,44035385,"kiorboe, t",5,319,"Denmark","Biology",1806,52,12916,194,0.14,0.268
1997,44035385,"kiorboe, t",2,276,"Denmark","Biology",2082,54,12916,194,0.161,0.278
1998,44035385,"kiorboe, t",6,362,"Denmark","Biology",2444,60,12916,194,0.189,0.309
1999,44035385,"kiorboe, t",2,288,"Denmark","Biology",2732,62,12916,194,0.212,0.32
2000,44035385,"kiorboe, t",3,239,"Denmark","Biology",2971,65,12916,194,0.23,0.335
2001,44035385,"kiorboe, t",7,391,"Denmark","Biology",3362,72,12916,194,0.26,0.371
2002,44035385,"kiorboe, t",3,432,"Denmark","Biology",3794,75,12916,194,0.294,0.387
2003,44035385,"kiorboe, t",7,377,"Denmark","Biology",4171,82,12916,194,0.323,0.423
2004,44035385,"kiorboe, t",2,356,"Denmark","Biology",4527,84,12916,194,0.35,0.433
2005,44035385,"kiorboe, t",7,421,"Denmark","Biology",4948,91,12916,194,0.383,0.469
2006,44035385,"kiorboe, t",9,406,"Denmark","Biology",5354,100,12916,194,0.415,0.515
2007,44035385,"kiorboe, t",3,503,"Denmark","Biology",5857,103,12916,194,0.453,0.531
2008,44035385,"kiorboe, t",4,454,"Denmark","Biology",6311,107,12916,194,0.489,0.552
2009,44035385,"kiorboe, t",3,435,"Denmark","Biology",6746,110,12916,194,0.522,0.567
2010,44035385,"kiorboe, t",5,444,"Denmark","Biology",7190,115,12916,194,0.557,0.593
2011,44035385,"kiorboe, t",10,516,"Denmark","Biology",7706,125,12916,194,0.597,0.644
2012,44035385,"kiorboe, t",5,437,"Denmark","Biology",8143,130,12916,194,0.63,0.67
2013,44035385,"kiorboe, t",12,544,"Denmark","Biology",8687,142,12916,194,0.673,0.732
2014,44035385,"kiorboe, t",7,605,"Denmark","Biology",9292,149,12916,194,0.719,0.768
2015,44035385,"kiorboe, t",9,660,"Denmark","Biology",9952,158,12916,194,0.771,0.814
2016,44035385,"kiorboe, t",11,654,"Denmark","Biology",10606,169,12916,194,0.821,0.871
2017,44035385,"kiorboe, t",8,740,"Denmark","Biology",11346,177,12916,194,0.878,0.912
2018,44035385,"kiorboe, t",13,794,"Denmark","Biology",12140,190,12916,194,0.94,0.979
2019,44035385,"kiorboe, t",4,776,"Denmark","Biology",12916,194,12916,194,1,1
1980,44810329,"colwell, rk",0,0,"Denmark","Biology",0,0,19896,101,0,0
1981,44810329,"colwell, rk",2,2,"Denmark","Biology",2,2,19896,101,0,0.02
1982,44810329,"colwell, rk",1,10,"Denmark","Biology",12,3,19896,101,0.001,0.03
1983,44810329,"colwell, rk",1,15,"Denmark","Biology",27,4,19896,101,0.001,0.04
1984,44810329,"colwell, rk",0,12,"Denmark","Biology",39,4,19896,101,0.002,0.04
1985,44810329,"colwell, rk",3,31,"Denmark","Biology",70,7,19896,101,0.004,0.069
1986,44810329,"colwell, rk",0,32,"Denmark","Biology",102,7,19896,101,0.005,0.069
1987,44810329,"colwell, rk",0,21,"Denmark","Biology",123,7,19896,101,0.006,0.069
1988,44810329,"colwell, rk",0,14,"Denmark","Biology",137,7,19896,101,0.007,0.069
1989,44810329,"colwell, rk",2,12,"Denmark","Biology",149,9,19896,101,0.007,0.089
1990,44810329,"colwell, rk",0,17,"Denmark","Biology",166,9,19896,101,0.008,0.089
1991,44810329,"colwell, rk",1,14,"Denmark","Biology",180,10,19896,101,0.009,0.099
1992,44810329,"colwell, rk",1,13,"Denmark","Biology",193,11,19896,101,0.01,0.109
1993,44810329,"colwell, rk",1,16,"Denmark","Biology",209,12,19896,101,0.011,0.119
1994,44810329,"colwell, rk",2,22,"Denmark","Biology",231,14,19896,101,0.012,0.139
1995,44810329,"colwell, rk",2,28,"Denmark","Biology",259,16,19896,101,0.013,0.158
1996,44810329,"colwell, rk",0,57,"Denmark","Biology",316,16,19896,101,0.016,0.158
1997,44810329,"colwell, rk",1,46,"Denmark","Biology",362,17,19896,101,0.018,0.168
1998,44810329,"colwell, rk",0,91,"Denmark","Biology",453,17,19896,101,0.023,0.168
1999,44810329,"colwell, rk",1,100,"Denmark","Biology",553,18,19896,101,0.028,0.178
2000,44810329,"colwell, rk",5,125,"Denmark","Biology",678,23,19896,101,0.034,0.228
2001,44810329,"colwell, rk",1,159,"Denmark","Biology",837,24,19896,101,0.042,0.238
2002,44810329,"colwell, rk",1,182,"Denmark","Biology",1019,25,19896,101,0.051,0.248
2003,44810329,"colwell, rk",1,210,"Denmark","Biology",1229,26,19896,101,0.062,0.257
2004,44810329,"colwell, rk",4,263,"Denmark","Biology",1492,30,19896,101,0.075,0.297
2005,44810329,"colwell, rk",6,445,"Denmark","Biology",1937,36,19896,101,0.097,0.356
2006,44810329,"colwell, rk",5,527,"Denmark","Biology",2464,41,19896,101,0.124,0.406
2007,44810329,"colwell, rk",4,748,"Denmark","Biology",3212,45,19896,101,0.161,0.446
2008,44810329,"colwell, rk",4,774,"Denmark","Biology",3986,49,19896,101,0.2,0.485
2009,44810329,"colwell, rk",9,900,"Denmark","Biology",4886,58,19896,101,0.246,0.574
2010,44810329,"colwell, rk",2,1021,"Denmark","Biology",5907,60,19896,101,0.297,0.594
