yr,cluster_id,full_name,country,field,indicator,value
2003,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,1291
2004,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,1483
2005,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,1718
2006,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,2030
2007,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,2378
2008,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,2807
2009,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,3373
2010,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,4040
2011,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,4827
2012,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,5657
2013,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,6835
2014,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,8052
2015,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,9326
2016,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,10909
2017,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,12593
2018,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,14507
2019,6816065,"pesaran, mh",United Kingdom,Economics,cum_cit,16962
1980,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1981,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1982,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1983,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1984,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1985,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1986,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1987,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1988,10849200,"johansen, s",Denmark,Economics,cum_cit,0
1989,10849200,"johansen, s",Denmark,Economics,cum_cit,2
1990,10849200,"johansen, s",Denmark,Economics,cum_cit,24
1991,10849200,"johansen, s",Denmark,Economics,cum_cit,111
1992,10849200,"johansen, s",Denmark,Economics,cum_cit,269
1993,10849200,"johansen, s",Denmark,Economics,cum_cit,482
1994,10849200,"johansen, s",Denmark,Economics,cum_cit,758
1995,10849200,"johansen, s",Denmark,Economics,cum_cit,1176
1996,10849200,"johansen, s",Denmark,Economics,cum_cit,1593
1997,10849200,"johansen, s",Denmark,Economics,cum_cit,2111
1998,10849200,"johansen, s",Denmark,Economics,cum_cit,2618
1999,10849200,"johansen, s",Denmark,Economics,cum_cit,3042
2000,10849200,"johansen, s",Denmark,Economics,cum_cit,3523
2001,10849200,"johansen, s",Denmark,Economics,cum_cit,3945
2002,10849200,"johansen, s",Denmark,Economics,cum_cit,4378
2003,10849200,"johansen, s",Denmark,Economics,cum_cit,4761
2004,10849200,"johansen, s",Denmark,Economics,cum_cit,5181
2005,10849200,"johansen, s",Denmark,Economics,cum_cit,5562
2006,10849200,"johansen, s",Denmark,Economics,cum_cit,5984
2007,10849200,"johansen, s",Denmark,Economics,cum_cit,6404
2008,10849200,"johansen, s",Denmark,Economics,cum_cit,6890
2009,10849200,"johansen, s",Denmark,Economics,cum_cit,7443
2010,10849200,"johansen, s",Denmark,Economics,cum_cit,8010
2011,10849200,"johansen, s",Denmark,Economics,cum_cit,8591
2012,10849200,"johansen, s",Denmark,Economics,cum_cit,9236
2013,10849200,"johansen, s",Denmark,Economics,cum_cit,9894
